sep=,
timestamp,precision,recall
>1445444091.79, 0.133333333333, 0.333333333333
1445444181.85, 0.833333333333, 0.933333333333
1445446703.97, 0.833333333333, 0.933333333333
1445446749.5, 0.833333333333, 0.933333333333
1445448097.27, 0.833333333333, 0.933333333333
1445448586.41, 0.833333333333, 0.933333333333
1445448746.67, 0.833333333333, 0.933333333333
1445449821.19, 0.833333333333, 0.933333333333
1445449871.67, 0.833333333333, 0.933333333333
1445449973.57, 0.833333333333, 0.933333333333
1445449993.8, 0.833333333333, 0.933333333333
1445450056.81, 0.833333333333, 0.933333333333
1445451663.41, 0.833333333333, 0.933333333333
1445451803.06, 0.666666666667, 0.666666666667
1445451832.69, 0.666666666667, 0.666666666667
1445451903.56, 0.666666666667, 0.666666666667
1445452583.94, 0.666666666667, 0.666666666667
1445452995.38, 0.666666666667, 0.666666666667
1445453704.67, 0.666666666667, 0.666666666667
1445453730.91, 0.666666666667, 0.666666666667
1445453780.59, 0.666666666667, 0.666666666667
1445453888.2, 0.639740655988, 0.740740740741
1445454058.68, 0.694388944389, 0.759184092235
1445454178.53, 0.694388944389, 0.759184092235
1445454395.34, 0.706073273079, 0.76456788797
1445454534.12, 0.647413570691, 0.753401360544
1445454646.67, 0.71568627451, 0.777777777778
1445504750.5, 0.764214559387, 0.842857142857
1445505019.08, 0.818023296366, 0.814285714286
1445505190.59, 0.764214559387, 0.842857142857
1445505423.77, 0.444973544974, 0.47619047619
1445505802.85, 0.818023296366, 0.814285714286
1445505871.19, 0.626262626263, 0.690476190476
1445506127.41, 0.764214559387, 0.842857142857
1445506105.29, 0.818023296366, 0.814285714286
1445506272.28, 0.850076903932, 0.859783957038
